Date,Open,High,Low,Close,Adj Close,Volume
2019-12-10,137.610001,137.610001,136.169998,136.270004,136.270004,2940200
2019-12-11,137.050003,137.539993,136.320007,137.100006,137.100006,3339100
2019-12-12,136.800003,137.899994,136.750000,137.179993,137.179993,3502100
2019-12-13,136.929993,138.250000,136.190002,137.940002,137.940002,3557900
2019-12-16,136.949997,137.520004,136.160004,137.059998,137.059998,4701000
2019-12-17,137.050003,137.440002,135.690002,136.169998,136.169998,5491800
2019-12-18,137.050003,137.300003,135.630005,135.970001,135.970001,5370500
2019-12-19,136.220001,136.740005,135.949997,136.470001,136.470001,3641700
2019-12-20,137.410004,138.130005,135.160004,137.919998,137.919998,10311300
2019-12-23,137.690002,138.130005,136.839996,137.039993,137.039993,2992900
2019-12-24,137.089996,137.380005,136.270004,136.889999,136.889999,1220600
2019-12-26,136.860001,137.339996,136.100006,136.690002,136.690002,2934700
2019-12-27,136.880005,137.580002,136.630005,137.539993,137.539993,2554000
2019-12-30,136.699997,137.970001,136.479996,136.809998,136.809998,3024700
2019-12-31,136.690002,137.259995,136.029999,136.669998,136.669998,3229400
2020-01-02,136.869995,137.229996,135.139999,135.820007,135.820007,3784100
2020-01-03,135.460007,136.789993,135.130005,135.630005,135.630005,4000100
2020-01-06,135.300003,136.320007,135.199997,136.149994,136.149994,4085100
2020-01-07,136.000000,136.070007,133.949997,134.009995,134.009995,5718100
2020-01-08,134.460007,135.360001,134.070007,134.699997,134.699997,3681400
2020-01-09,135.289993,135.380005,134.529999,134.789993,134.789993,3954700
2020-01-10,135.169998,135.419998,134.389999,134.529999,134.529999,3099500
2020-01-13,134.649994,136.589996,134.630005,136.529999,136.529999,5127200
2020-01-14,136.179993,136.940002,135.699997,136.850006,136.850006,4159700
2020-01-15,137.039993,139.250000,136.800003,139.199997,139.199997,5002600
2020-01-16,139.350006,140.160004,138.600006,139.610001,139.610001,4977900
2020-01-17,140.100006,141.320007,139.899994,141.259995,141.259995,6908700
2020-01-21,140.610001,142.119995,140.339996,141.860001,141.860001,4440000
2020-01-22,141.809998,143.570007,141.720001,143.380005,143.380005,5366100
2020-01-23,143.089996,143.850006,142.369995,143.649994,143.649994,3915700
2020-01-24,143.830002,144.149994,142.449997,142.919998,142.919998,2791500
